PRISM Time Series Data
Location:  Lat: 41.8292   Lon: -86.2597   Elev: 702ft
"Climate variables: tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2015-01-01 - 2025-12-03
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Dec-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
2015-01-01,8.9,14.9,20.9
2015-01-02,14.0,21.8,29.7
2015-01-03,19.5,26.9,34.3
2015-01-04,30.8,32.7,34.6
2015-01-05,3.0,18.1,33.3
2015-01-06,0.1,5.0,10.0
2015-01-07,6.9,11.3,15.8
2015-01-08,-9.3,0.6,10.5
2015-01-09,-8.9,4.8,18.6
2015-01-10,-4.5,3.9,12.3
2015-01-11,-4.0,9.9,23.8
2015-01-12,23.3,26.7,30.2
2015-01-13,-1.7,13.5,28.7
2015-01-14,-8.5,3.9,16.2
2015-01-15,-2.4,6.8,16.0
2015-01-16,11.6,21.5,31.4
2015-01-17,22.3,28.3,34.3
2015-01-18,31.3,38.0,44.7
2015-01-19,26.0,31.6,37.1
2015-01-20,26.5,33.0,39.4
2015-01-21,30.7,33.5,36.2
2015-01-22,28.1,31.6,35.1
2015-01-23,29.0,30.7,32.5
2015-01-24,23.9,27.9,31.9
2015-01-25,26.0,32.7,39.4
2015-01-26,7.9,20.8,33.6
2015-01-27,8.6,16.6,24.7
2015-01-28,10.6,19.5,28.4
2015-01-29,11.5,23.2,34.8
2015-01-30,22.4,29.3,36.2
2015-01-31,13.9,19.7,25.5
2015-02-01,19.8,28.4,36.9
2015-02-02,7.3,17.9,28.4
2015-02-03,0.3,10.4,20.5
2015-02-04,4.1,16.8,29.5
2015-02-05,6.7,17.6,28.5
2015-02-06,4.0,12.0,20.0
2015-02-07,13.9,21.5,29.2
2015-02-08,25.1,34.2,43.3
2015-02-09,19.3,30.5,41.6
2015-02-10,3.2,14.1,25.0
2015-02-11,4.0,16.3,28.6
2015-02-12,14.2,24.0,33.8
2015-02-13,3.1,11.2,19.3
2015-02-14,3.5,15.6,27.6
2015-02-15,-4.9,8.4,21.6
2015-02-16,-4.9,3.7,12.3
2015-02-17,-4.1,3.6,11.3
2015-02-18,5.4,13.2,21.1
2015-02-19,-1.3,5.5,12.2
2015-02-20,-12.1,-2.6,6.9
2015-02-21,-10.1,3.4,17.0
2015-02-22,16.1,22.2,28.2
2015-02-23,2.3,13.4,24.4
2015-02-24,-1.1,6.7,14.4
2015-02-25,3.5,15.7,27.8
2015-02-26,8.8,17.1,25.3
2015-02-27,-10.0,3.1,16.2
2015-02-28,-11.5,3.5,18.4
2015-03-01,-2.4,9.7,21.7
2015-03-02,10.1,18.0,25.9
2015-03-03,10.2,20.2,30.2
2015-03-04,22.7,28.9,35.1
2015-03-05,4.6,16.4,28.1
2015-03-06,-1.1,10.0,21.0
2015-03-07,4.3,15.8,27.2
2015-03-08,22.9,33.3,43.7
2015-03-09,21.8,31.2,40.5
2015-03-10,22.7,35.6,48.6
2015-03-11,28.0,38.7,49.3
2015-03-12,25.3,37.5,49.7
2015-03-13,32.7,41.6,50.6
2015-03-14,35.1,45.9,56.7
2015-03-15,26.5,36.8,47.1
2015-03-16,32.0,44.9,57.8
2015-03-17,35.2,52.2,69.3
2015-03-18,21.0,29.8,38.6
2015-03-19,23.0,33.7,44.5
2015-03-20,30.9,38.1,45.3
2015-03-21,33.1,39.9,46.8
2015-03-22,26.2,35.4,44.7
2015-03-23,28.1,33.4,38.8
2015-03-24,14.0,22.6,31.1
2015-03-25,15.8,29.0,42.2
2015-03-26,34.3,40.0,45.7
2015-03-27,21.5,30.8,40.1
2015-03-28,11.4,21.3,31.3
2015-03-29,17.6,25.7,33.8
2015-03-30,28.9,36.5,44.1
2015-03-31,36.2,46.1,55.9
2015-04-01,29.9,39.7,49.5
2015-04-02,32.1,50.6,69.2
2015-04-03,38.3,49.8,61.3
2015-04-04,24.0,37.2,50.5
2015-04-05,26.3,40.8,55.3
2015-04-06,35.1,50.1,65.0
2015-04-07,40.8,51.6,62.4
2015-04-08,40.6,45.5,50.4
2015-04-09,41.0,49.6,58.2
2015-04-10,41.2,56.4,71.5
2015-04-11,32.2,46.6,61.1
