PRISM Time Series Data,,,
Location:  Lat: 43.6131   Lon: -85.4778   Elev: 922ft,,,
"Climate variables: tmin,tmean,tmax",,,
Spatial resolution: 4km,,,
Period: 2015-01-01 - 2025-12-03,,,
Dataset: AN91d,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,
Grid Cell Interpolation: Off,,,
Time series generated: 2025-Dec-13,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
1/1/2015,8.2,14.9,21.5
1/2/2015,15.3,21.2,27.2
1/3/2015,11.1,20.5,29.8
1/4/2015,24.3,27.3,30.4
1/5/2015,-0.1,15,30.1
1/6/2015,-0.4,3.5,7.5
1/7/2015,3.6,9.7,15.7
1/8/2015,2.8,5.9,8.9
1/9/2015,3.2,8.7,14.3
1/10/2015,-0.5,5.1,10.8
1/11/2015,6,12.4,18.8
1/12/2015,15.8,23.3,30.9
1/13/2015,-13,5.1,23.1
1/14/2015,-15.4,0.4,16.2
1/15/2015,-1.4,10.1,21.6
1/16/2015,17.6,25.2,32.7
1/17/2015,15.2,20.2,25.1
1/18/2015,21.6,31.2,40.7
1/19/2015,23.9,29,34.1
1/20/2015,21.6,25,28.5
1/21/2015,20.5,23.5,26.5
1/22/2015,16.1,20.9,25.7
1/23/2015,12.7,22,31.3
1/24/2015,27.6,30.3,33
1/25/2015,16.4,26.9,37.3
1/26/2015,-0.9,10.8,22.5
1/27/2015,-1,10.8,22.6
1/28/2015,1.8,14.4,26.9
1/29/2015,2.1,15.2,28.4
1/30/2015,16.1,23.8,31.5
1/31/2015,9.9,16.2,22.4
2/1/2015,13.3,21.9,30.5
2/2/2015,0.2,7.1,14
2/3/2015,-1.4,8.6,18.5
2/4/2015,5.6,13.7,21.9
2/5/2015,-9.8,5.9,21.7
2/6/2015,-8.8,5.8,20.3
2/7/2015,17.1,23,28.9
2/8/2015,25.4,30.1,34.8
2/9/2015,14.3,21.5,28.7
2/10/2015,-1.7,11.9,25.6
2/11/2015,-1.8,12.8,27.5
2/12/2015,7.2,18.7,30.3
2/13/2015,-2.7,5.3,13.3
2/14/2015,3.6,12,20.3
2/15/2015,-12.9,-0.2,12.4
2/16/2015,-13.8,-3.7,6.4
2/17/2015,-2.1,5.2,12.5
2/18/2015,0.3,9.4,18.6
2/19/2015,-14.2,-0.8,12.6
2/20/2015,-24.5,-10.3,3.8
2/21/2015,-22.2,-3.7,14.9
2/22/2015,11.4,19.3,27.2
2/23/2015,-20.6,-1.9,16.9
2/24/2015,-20.3,-3.2,13.9
2/25/2015,3.1,14.5,25.9
2/26/2015,-3.1,8,19.1
2/27/2015,-18.8,-2.9,13.1
2/28/2015,-18.7,0.2,19
3/1/2015,-6.8,8.7,24.3
3/2/2015,9.8,17.4,24.9
3/3/2015,12.9,21.8,30.7
3/4/2015,20.9,25.5,30.2
3/5/2015,-8.1,8,24
3/6/2015,-9.4,4,17.4
3/7/2015,3.8,14.8,25.7
3/8/2015,17.5,27.7,37.9
3/9/2015,16,29,42.1
3/10/2015,19.8,33.7,47.6
3/11/2015,27.7,35.4,43.2
3/12/2015,24.6,38,51.4
3/13/2015,25.8,35.8,45.8
3/14/2015,26.1,42.1,58
3/15/2015,27.4,35.1,42.8
3/16/2015,27.3,38.8,50.3
3/17/2015,30.5,46.2,61.9
3/18/2015,21.7,30.4,39
3/19/2015,23,33.6,44.2
3/20/2015,22.5,32.3,42
3/21/2015,26.4,37.5,48.7
3/22/2015,17.2,29.5,41.8
3/23/2015,17.8,26.8,35.9
3/24/2015,14.5,24.2,33.8
3/25/2015,14.8,28.3,41.8
3/26/2015,30.7,35,39.3
3/27/2015,16.4,26.7,37.1
3/28/2015,7.8,17.1,26.4
3/29/2015,8.7,23,37.2
3/30/2015,20.6,31,41.3
3/31/2015,32.3,41.8,51.2
4/1/2015,26.6,39.4,52.1
4/2/2015,27.3,44.6,61.9
4/3/2015,33.9,45.9,57.9
4/4/2015,18.7,33.7,48.7
4/5/2015,20.3,34.8,49.3
4/6/2015,31.5,37.8,44.1
4/7/2015,33.3,45.9,58.4
4/8/2015,33.5,41.6,49.7
4/9/2015,33.5,36.7,39.9
4/10/2015,35.6,46.2,56.7
4/11/2015,28.9,38.2,47.5
4/12/2015,30,44,57.9
4/13/2015,34.5,51.1,67.8
4/14/2015,30.5,45.8,61
4/15/2015,29.8,47.9,65.9
4/16/2015,35.6,49.6,63.6
4/17/2015,35.8,48.8,61.8
4/18/2015,38,56.1,74.1
4/19/2015,40.4,55.3,70.3
4/20/2015,42.7,53.7,64.6
4/21/2015,36.2,42.7,49.3
4/22/2015,31.2,36.4,41.6
4/23/2015,28.2,32.4,36.6
4/24/2015,22.3,32.5,42.6
4/25/2015,28,42.1,56.2
4/26/2015,29.5,42.1,54.7
4/27/2015,33.8,46.1,58.4
4/28/2015,30.3,43,55.7
