PRISM Time Series Data,,,
Location:  Lat: 42.6509   Lon: -86.1067   Elev: 705ft,,,
"Climate variables: tmin,tmean,tmax",,,
Spatial resolution: 4km,,,
Period: 2015-01-01 - 2025-12-03,,,
Dataset: AN91d,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,
Grid Cell Interpolation: Off,,,
Time series generated: 2025-Dec-13,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
1/1/2015,15.7,19.8,23.9
1/2/2015,24.5,28.5,32.6
1/3/2015,25.3,29.6,33.9
1/4/2015,28.7,31.3,33.8
1/5/2015,7.6,20.3,32.9
1/6/2015,5.7,8.7,11.6
1/7/2015,8.6,13.5,18.5
1/8/2015,3.9,7.8,11.7
1/9/2015,-0.7,9,18.6
1/10/2015,7.4,11.1,14.8
1/11/2015,9.5,16.7,23.8
1/12/2015,23.2,27.7,32.3
1/13/2015,-1.4,12.5,26.4
1/14/2015,-8.1,4.2,16.5
1/15/2015,2.9,12.5,22.1
1/16/2015,18.4,26.6,34.8
1/17/2015,20.5,25.3,30.1
1/18/2015,29.2,36.3,43.4
1/19/2015,31.5,34.2,36.9
1/20/2015,28.7,32,35.2
1/21/2015,27.5,29.9,32.3
1/22/2015,26.5,28.5,30.6
1/23/2015,26.6,29.5,32.3
1/24/2015,30.1,31.9,33.7
1/25/2015,30.4,34.4,38.4
1/26/2015,9.7,19.7,29.8
1/27/2015,10.1,17.3,24.5
1/28/2015,12.2,20.2,28.2
1/29/2015,13.5,22.9,32.4
1/30/2015,21,27.6,34.1
1/31/2015,17.5,21.3,25.1
2/1/2015,20.9,27.5,34.2
2/2/2015,6.9,14.6,22.2
2/3/2015,4.6,12.4,20.2
2/4/2015,13.9,20.6,27.3
2/5/2015,7.8,16.8,25.7
2/6/2015,8,15.2,22.5
2/7/2015,22.1,25.8,29.4
2/8/2015,27.2,34.3,41.4
2/9/2015,18.7,27.5,36.3
2/10/2015,6.8,17.1,27.3
2/11/2015,8.3,18.4,28.5
2/12/2015,15.1,24.4,33.8
2/13/2015,11.3,14.8,18.3
2/14/2015,12.4,19.5,26.6
2/15/2015,-3.5,8.1,19.7
2/16/2015,-4.5,1.3,7.2
2/17/2015,1.2,7.6,14
2/18/2015,10.8,15.8,20.8
2/19/2015,0.5,7.3,14
2/20/2015,-10.1,-1.5,7.1
2/21/2015,-5.1,6.1,17.3
2/22/2015,17.2,22.3,27.4
2/23/2015,-1.9,9.7,21.3
2/24/2015,-3.7,4.9,13.5
2/25/2015,8.1,18.6,29.2
2/26/2015,6.9,13.7,20.6
2/27/2015,-5.6,4.7,15.1
2/28/2015,-2.7,8.3,19.2
3/1/2015,0.1,10.7,21.2
3/2/2015,12.7,19.8,26.9
3/3/2015,18.8,23.9,29.1
3/4/2015,23.1,28.3,33.6
3/5/2015,5.8,15.9,26.1
3/6/2015,0.9,10,19.1
3/7/2015,6.8,16.3,25.7
3/8/2015,21.1,30.6,40.2
3/9/2015,21.8,30.2,38.7
3/10/2015,23.8,34,44.3
3/11/2015,28.4,35.9,43.5
3/12/2015,26.9,36.9,46.9
3/13/2015,32,40.3,48.6
3/14/2015,34.3,44.3,54.3
3/15/2015,28.2,35.8,43.3
3/16/2015,30.5,41.6,52.7
3/17/2015,34.2,48.7,63.3
3/18/2015,25,31.6,38.3
3/19/2015,29,35.4,41.9
3/20/2015,29.5,36.1,42.7
3/21/2015,32.9,39.6,46.4
3/22/2015,25.1,34.3,43.6
3/23/2015,24.4,29.9,35.4
3/24/2015,19.6,27.7,35.8
3/25/2015,21.2,33.1,45
3/26/2015,34.5,38.1,41.7
3/27/2015,21.2,29.8,38.4
3/28/2015,13.3,20.7,28.1
3/29/2015,16.8,24.5,32.1
3/30/2015,28.5,35.1,41.7
3/31/2015,37.4,44.5,51.5
4/1/2015,29.8,38.9,48
4/2/2015,34.6,51.3,68
4/3/2015,40.4,50.7,60.9
4/4/2015,24,36,48
4/5/2015,29.8,40.6,51.4
4/6/2015,35.6,46.7,57.8
4/7/2015,38.3,48.6,58.9
4/8/2015,39.8,46.5,53.2
4/9/2015,39.7,43.9,48.1
4/10/2015,39.6,52.7,65.9
4/11/2015,33.8,41.2,48.6
4/12/2015,38.2,47,55.9
4/13/2015,46.7,56.7,66.7
4/14/2015,36.9,49.1,61.2
4/15/2015,39.7,51.5,63.3
4/16/2015,44.2,56,67.8
4/17/2015,37.9,48.9,59.9
4/18/2015,42.3,56.6,70.9
4/19/2015,46.7,61,75.3
4/20/2015,45.1,57.6,70.1
4/21/2015,40,45.2,50.3
4/22/2015,35.6,40.5,45.5
4/23/2015,33.1,36.4,39.8
4/24/2015,29.4,37.3,45.2
4/25/2015,35.8,46.1,56.4
4/26/2015,34,44.6,55.3
4/27/2015,38.1,47.6,57.1
4/28/2015,33.3,42.2,51
