PRISM Time Series Data,,,
Location:  Lat: 41.8292   Lon: -86.2597   Elev: 702ft,,,
"Climate variables: tmin,tmean,tmax",,,
Spatial resolution: 4km,,,
Period: 2015-01-01 - 2025-12-03,,,
Dataset: AN91d,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,
Grid Cell Interpolation: Off,,,
Time series generated: 2025-Dec-13,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
1/1/2015,8.9,14.9,20.9
1/2/2015,14,21.8,29.7
1/3/2015,19.5,26.9,34.3
1/4/2015,30.8,32.7,34.6
1/5/2015,3,18.1,33.3
1/6/2015,0.1,5,10
1/7/2015,6.9,11.3,15.8
1/8/2015,-9.3,0.6,10.5
1/9/2015,-8.9,4.8,18.6
1/10/2015,-4.5,3.9,12.3
1/11/2015,-4,9.9,23.8
1/12/2015,23.3,26.7,30.2
1/13/2015,-1.7,13.5,28.7
1/14/2015,-8.5,3.9,16.2
1/15/2015,-2.4,6.8,16
1/16/2015,11.6,21.5,31.4
1/17/2015,22.3,28.3,34.3
1/18/2015,31.3,38,44.7
1/19/2015,26,31.6,37.1
1/20/2015,26.5,33,39.4
1/21/2015,30.7,33.5,36.2
1/22/2015,28.1,31.6,35.1
1/23/2015,29,30.7,32.5
1/24/2015,23.9,27.9,31.9
1/25/2015,26,32.7,39.4
1/26/2015,7.9,20.8,33.6
1/27/2015,8.6,16.6,24.7
1/28/2015,10.6,19.5,28.4
1/29/2015,11.5,23.2,34.8
1/30/2015,22.4,29.3,36.2
1/31/2015,13.9,19.7,25.5
2/1/2015,19.8,28.4,36.9
2/2/2015,7.3,17.9,28.4
2/3/2015,0.3,10.4,20.5
2/4/2015,4.1,16.8,29.5
2/5/2015,6.7,17.6,28.5
2/6/2015,4,12,20
2/7/2015,13.9,21.5,29.2
2/8/2015,25.1,34.2,43.3
2/9/2015,19.3,30.5,41.6
2/10/2015,3.2,14.1,25
2/11/2015,4,16.3,28.6
2/12/2015,14.2,24,33.8
2/13/2015,3.1,11.2,19.3
2/14/2015,3.5,15.6,27.6
2/15/2015,-4.9,8.4,21.6
2/16/2015,-4.9,3.7,12.3
2/17/2015,-4.1,3.6,11.3
2/18/2015,5.4,13.2,21.1
2/19/2015,-1.3,5.5,12.2
2/20/2015,-12.1,-2.6,6.9
2/21/2015,-10.1,3.4,17
2/22/2015,16.1,22.2,28.2
2/23/2015,2.3,13.4,24.4
2/24/2015,-1.1,6.7,14.4
2/25/2015,3.5,15.7,27.8
2/26/2015,8.8,17.1,25.3
2/27/2015,-10,3.1,16.2
2/28/2015,-11.5,3.5,18.4
3/1/2015,-2.4,9.7,21.7
3/2/2015,10.1,18,25.9
3/3/2015,10.2,20.2,30.2
3/4/2015,22.7,28.9,35.1
3/5/2015,4.6,16.4,28.1
3/6/2015,-1.1,10,21
3/7/2015,4.3,15.8,27.2
3/8/2015,22.9,33.3,43.7
3/9/2015,21.8,31.2,40.5
3/10/2015,22.7,35.6,48.6
3/11/2015,28,38.7,49.3
3/12/2015,25.3,37.5,49.7
3/13/2015,32.7,41.6,50.6
3/14/2015,35.1,45.9,56.7
3/15/2015,26.5,36.8,47.1
3/16/2015,32,44.9,57.8
3/17/2015,35.2,52.2,69.3
3/18/2015,21,29.8,38.6
3/19/2015,23,33.7,44.5
3/20/2015,30.9,38.1,45.3
3/21/2015,33.1,39.9,46.8
3/22/2015,26.2,35.4,44.7
3/23/2015,28.1,33.4,38.8
3/24/2015,14,22.6,31.1
3/25/2015,15.8,29,42.2
3/26/2015,34.3,40,45.7
3/27/2015,21.5,30.8,40.1
3/28/2015,11.4,21.3,31.3
3/29/2015,17.6,25.7,33.8
3/30/2015,28.9,36.5,44.1
3/31/2015,36.2,46.1,55.9
4/1/2015,29.9,39.7,49.5
4/2/2015,32.1,50.6,69.2
4/3/2015,38.3,49.8,61.3
4/4/2015,24,37.2,50.5
4/5/2015,26.3,40.8,55.3
4/6/2015,35.1,50.1,65
4/7/2015,40.8,51.6,62.4
4/8/2015,40.6,45.5,50.4
4/9/2015,41,49.6,58.2
4/10/2015,41.2,56.4,71.5
4/11/2015,32.2,46.6,61.1
4/12/2015,36.4,48.6,60.7
4/13/2015,47.5,57.3,67.1
4/14/2015,37.4,50.6,63.8
4/15/2015,37.6,51.3,65
4/16/2015,43.3,55.2,67
4/17/2015,37.8,50.2,62.6
4/18/2015,41.2,58,74.7
4/19/2015,51.3,63.9,76.5
4/20/2015,50,59.8,69.7
4/21/2015,39.6,47.6,55.7
4/22/2015,34.2,43.4,52.7
4/23/2015,29.2,35.9,42.5
4/24/2015,26.4,37,47.7
4/25/2015,34,46.6,59.3
4/26/2015,33.1,40.4,47.6
4/27/2015,35.9,45,54.1
4/28/2015,31.4,41.4,51.4
4/29/2015,32.9,45.6,58.3
